Type;Name;Data Type;MeasureList
Field;_37_Alarm_Inverter_B;integer;Ice_Measures
Field;_38_Alarm_Inverter_C;integer;Ice_Measures
Field;_39_Alarm_Tank;integer;Ice_Measures
Field;_40_Alarm_Well_Level;integer;Ice_Measures
Field;_41_Alarm_Evap_Rotation;integer;Ice_Measures
Field;_42_Alarm_Inverter_1_Over_Temperature;integer;Ice_Measures
Field;_43_Alarm_Inverter_2_Over_Temperature;integer;Ice_Measures
Field;_44_Alarm_Inverter_3_Over_Temperature;integer;Ice_Measures
Field;_50_Solar_Power;integer;Ice_Measures
Field;_51_Grid_Power;integer;Ice_Measures
Field;_52_Total_Power;integer;Ice_Measures
Field;_53_Evap_Power;integer;Ice_Measures
Field;_53_Pump_Power;integer;Ice_Measures
Field;_54_Comp_Power;integer;Ice_Measures
Field;_54_Machine_Capacity;integer;Ice_Measures
Field;_55_Machine_Grid_Percentage;integer;Ice_Measures
Field;_55_Pump_Power;integer;Ice_Measures
Field;_56_Machine_Capacity;integer;Ice_Measures
Field;_56_Machine_Solar_Percentage;integer;Ice_Measures
Field;_57_Actual_Pressure;integer;Ice_Measures
Field;_57_Machine_Grid_Percentage;integer;Ice_Measures
Field;_58_Alarm;integer;Ice_Measures
Field;_58_Machine_Solar_Percentage;integer;Ice_Measures
Field;_59_Alarm;integer;Ice_Measures
Field;_59_DC_Voltage;integer;Ice_Measures
Field;_60_Inverter_Temperature;integer;Ice_Measures
Field;_60_Total_Current;integer;Ice_Measures
Field;_61_DC_Voltage_Evap;integer;Ice_Measures
Field;_61_Pump_Current;integer;Ice_Measures
Field;_62_DC_Voltage_Comp;integer;Ice_Measures
Field;_62_Solar_Power_KWh_Total;integer;Ice_Measures
Field;_63_DC_Voltage_Pump;integer;Ice_Measures
Field;_63_Solar_Power_KWh_This_Hour;integer;Ice_Measures
Field;_64_Solar_Power_KWh_Today;integer;Ice_Measures
Field;_64_Temperature_Inverter_Evap;integer;Ice_Measures
Field;_65_Solar_Power_KWh_This_Month;integer;Ice_Measures
Field;_65_Temperature_Inverte_Comp;integer;Ice_Measures
Field;_66_Grid_Power_KWh_Total;integer;Ice_Measures
Field;_66_Temperature_Inverter_Pump;integer;Ice_Measures
Field;_67_Frequency_Inverter_Evap;integer;Ice_Measures
Field;_67_Grid_Power_KWh_This_Hour;integer;Ice_Measures
Field;_68_Frequency_Inverter_Comp;integer;Ice_Measures
Field;_68_Grid_Power_KWh_Today;integer;Ice_Measures
Field;_69_Frequency_Inverter_Pump;integer;Ice_Measures
Field;_69_Grid_Power_KWh_This_Month;integer;Ice_Measures
Field;_70_Current_Inverter_Evap;integer;Ice_Measures
Field;_70_Output_Power_KWh_Total;integer;Ice_Measures
Field;_71_Current_Inverter_Comp;integer;Ice_Measures
Field;_71_Output_Power_KWh_This_Hour;integer;Ice_Measures
Field;_72_Current_Inverter_Pump;integer;Ice_Measures
Field;_72_Output_Power_KWh_Today;integer;Ice_Measures
Field;_73_Output_Power_KWh_This_Month;integer;Ice_Measures
Field;_73_Solar_Power_KWh_Total;integer;Ice_Measures
Field;_74_Current_Hour;integer;Ice_Measures
Field;_74_Solar_Power_KWh_This_Hour;integer;Ice_Measures
Field;_75_Current_Day;integer;Ice_Measures
Field;_75_Solar_Power_KWh_Today;integer;Ice_Measures
Field;_76_Current_Month;integer;Ice_Measures
Field;_76_Solar_Power_KWh_This_Month;integer;Ice_Measures
Field;_77_Current_Year;integer;Ice_Measures
Field;_77_Grid_Power_KWh_Total;integer;Ice_Measures
Field;_78_Grid_Power_KWh_This_Hour;integer;Ice_Measures
Field;_78_Total_Run_Time;integer;Ice_Measures
Field;_79_Grid_Power_KWh_Today;integer;Ice_Measures
Field;_79_UV_Lamp_Run_Time;integer;Ice_Measures
Field;_80_Grid_Power_KWh_This_Month;integer;Ice_Measures
Field;_80_Water_M3_Total;integer;Ice_Measures
Field;_81_Output_Power_KWh_Total;integer;Ice_Measures
Field;_81_Water_M3_This_Hour;integer;Ice_Measures
Field;_82_Output_Power_KWh_This_Hour;integer;Ice_Measures
Field;_82_Water_M3_Today;integer;Ice_Measures
Field;_83_Output_Power_KWh_Today;integer;Ice_Measures
Field;_83_Water_M3_Per_This_Month;integer;Ice_Measures
Field;_84_Output_Power_KWh_This_Month;integer;Ice_Measures
Field;_85_Current_Hour;integer;Ice_Measures
Field;_86_Current_Day;integer;Ice_Measures
Field;_87_Current_Month;integer;Ice_Measures
Field;_88_Current_Year;integer;Ice_Measures
Field;Alarm_DPSe;integer;Ice_Measures
Field;Alarm_Tankr;integer;Ice_Measures
Field;Alex_mood;string;NewFlow2
Field;Anti_Tank;string;NewFlow
Field;Anti_Tankk;float;NewFlow
Field;Anti_Tankkk;integer;NewFlow
Field;AntiScalantTank;integer;CodesysRO
Field;AntiTank;string;NewFlow
Field;AntiTankkk;integer;NewFlow
Field;BackwashSwitch;integer;CodesysRO
Field;BohrholeSwitch;integer;CodesysRO
Field;Boost_LastEnHr;float;NewFlow
Field;Boost_LastEnMin;float;NewFlow
Field;Boost_LastRunHr;string;NewFlow
Field;Boost_PwrOut_parse;string;NewFlow
Field;BoosterSwitch;integer;CodesysRO
Field;Bore_LastEnHr;float;NewFlow
Field;Bore_LastEnMin;float;NewFlow
Field;Bore_LastRunHr;string;NewFlow
Field;Bore_PwrOut_parse;string;NewFlow
Field;BorholeFloatSwitch;integer;CodesysRO
Field;CIP_tankempty;integer;NewFlow
Field;CIP_tankfull;integer;NewFlow
Field;CIPSwitch;integer;CodesysRO
Field;CIPtankHigh;integer;CodesysRO
Field;CIPtankLow;integer;CodesysRO
Field;Control_ON;integer;NewFlow2
Field;Ctrl_UVin;integer;NewFlow
Field;ctrl_UVout;integer;NewFlow
Field;DCVoltageBooster;integer;CodesysRO
Field;DCVoltageFeed;integer;CodesysRO
Field;DCVoltagePump;integer;CodesysRO
Field;Feed_KWhout_f;float;NewFlow
Field;Feed_KWhout_parse;integer;NewFlow
Field;Feed_LastEnHr;float;NewFlow
Field;Feed_LastEnMin;float;NewFlow
Field;Feed_LastRunHr;string;NewFlow
Field;Feed_PwrOut;integer;NewFlow
Field;Feed_PwrOut_parse;float;NewFlow
Field;FeedPower;integer;CodesysRO
Field;FeedSwitch;integer;CodesysRO
Field;FrequencyInverterBooster;integer;CodesysRO
Field;FrequencyInverterFeed;integer;CodesysRO
Field;FrequencyInverterPump;integer;CodesysRO
Field;Frequenz_Inv4;float;NewFlow
Field;Last_Backwash;string;NewFlow
Field;led_nouvo;integer;NewFlow
Field;Machine_Mode_Backwash;integer;CodesysRO
Field;Machine_Mode_CIP;integer;CodesysRO
Field;Machine_Mode_Filling;integer;CodesysRO
Field;Machine_Mode_Flush;integer;CodesysRO
Field;Machine_Mode_Pro;integer;CodesysRO
Field;MachineRun;integer;CodesysRO
Field;Mains_OON;integer;NewFlow
Field;Permeat;float;Devices
Field;Ph_Alarm;integer;NewFlow2
Field;Ph_Tank1;integer;NewFlow2
Field;Ph_Tank2;integer;NewFlow2
Field;PremeateTank;integer;CodesysRO
Field;PremeateWaterM3Today;string;CodesysRO
Field;PremeateWaterM3Total;string;CodesysRO
Field;qs_led_nouvo;integer;NewFlow
Field;RawWaterM3Today;string;CodesysRO
Field;RawWaterM3Total;string;CodesysRO
Field;RawWaterTankHigh;integer;CodesysRO
Field;RawWaterTankLow;integer;CodesysRO
Field;Switch_P4;integer;NewFlow
Field;Switch_Vertical;integer;NewFlow
Field;TemperatureInverterBooster;integer;CodesysRO
Field;TemperatureInverterFeed;integer;CodesysRO
Field;TemperatureInverterPump;integer;CodesysRO
Field;UV_inside_lifetime;float;NewFlow
Field;UV_inside_switching_operations;integer;NewFlow
Field;UV_outside_lifetime;float;NewFlow
Field;UV_outside_switching_operations;integer;NewFlow
Field;UVin2_ctrl;integer;NewFlow2
Field;UVin_Betriebsstunden;float;Devices
Field;UVin_lifetime;string;NewFlow
Field;UVout2_ctrl;integer;NewFlow2
Field;UVout_lifetime;string;NewFlow
Field;UvOutSwitch;integer;CodesysRO
Field;value1;integer;CodesysRO
Field;Valves_Position_cip;integer;NewFlow
Field;Valves_Position_fillingcip;integer;NewFlow
Field;Valves_Position_flush;integer;NewFlow
Field;Valves_Position_pro;integer;NewFlow
Field;Verkauftes_Wasser;integer;Devices
Field;Voltage_Drv4;float;NewFlow
Field;Wasser_eingang;float;Devices
Field;Wasser_permeat;float;Devices
Field;Wasser_verkauft;integer;Devices
Field;Wassereingang;float;Devices
Field;Water_in;float;Devices
Field;Water_produced;float;Devices
Field;Water_sold;float;Devices
Field;Water_Today_in;integer;Devices
Field;Water_Today_prod;integer;Devices
Field;Water_Today_sold;integer;Devices
Field;WaterToday_pro;integer;NewFlow
Field;WaterToday_prod;float;Devices
Field;WaterToday_recov;integer;NewFlow
Field;WaterTotal_in;float;NewFlow
Field;WaterTotal_pro;float;NewFlow
Field;WaterTotal_recovery;float;NewFlow
Field;WaterTotal_sold;float;NewFlow
